ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 1 ພາກຮຽນ 2,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 2 ພາກຮຽນ 1,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 2 ພາກຮຽນ 2,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 3 ພາກຮຽນ 1,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 3 ພາກຮຽນ 2,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 1,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 2,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 1 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ລາວສຶກສາ 1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ 1, ຄະນິດສາດສຳລັບຄອມພິວເຕີ 1, ລະບົບຄອມພິວເຕີ, ການນຳໃຊ້ຊອບແວພື້ນຖານ, ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C, ຄວາມຮູ້ພື້ນຖານກ່ຽວກັບຖານຂໍ້ມູນ (MS Access) ແລະ ຈິດຕະວິທະຍາທົ່ວໄປ "
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ພາກຮຽນ 1ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ລາວສຶກສາ 1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ 1, ຄະນິດສາດສຳລັບຄອມພິວເຕີ 1, ລະບົບຄອມພິວເຕີ, ການນຳໃຊ້ຊອບແວພື້ນຖານ, ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C, ຄວາມຮູ້ພື້ນຖານກ່ຽວກັບຖານຂໍ້ມູນ (MS Access) ແລະ ຈິດຕະວິທະຍາທົ່ວໄປ "
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 1 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 2 ຫຼັກສູດປະລິນຍາຕີ​ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ສະຖິຕິພື້ນຖານ, ແຄລຄູລັດສ໌ 1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ 2, ລາວສຶກສາ 2, ລະບົບຖານຂໍ້ມູນ (Database Systems), ການຂຽນໂປຣແກຣມພາສາ Python ສຳລັບ Data Science ແລະ ລະບົບປະຕິບັດການ (Operating Systems)"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 1 ພາກຮຽນ 2 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ສະຖິຕິພື້ນຖານ, ແຄລຄູລັດສ໌ 1, ພາສາອັງກິດສຳລັບວິທະຍາສາດ 2, ລາວສຶກສາ 2, ລະບົບຖານຂໍ້ມູນ (Database Systems), ການຂຽນໂປຣແກຣມພາສາ Python ສຳລັບ Data Science ແລະ ລະບົບປະຕິບັດການ (Operating Systems)"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 2 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ຄະນິດສາດສຳລັບຄອມພິວເຕີ 2, ແຄລຄູລັດສ໌ 2, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 1, ດາຕາຊາຍ (Data Science), ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ 1, ການຂຽນໂປຣແກຣມພາສາ R ສຳລັບ Data Science ແລະ ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ (MIS)"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ຄະນິດສາດສຳລັບຄອມພິວເຕີ 2, ແຄລຄູລັດສ໌ 2, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 1, ດາຕາຊາຍ (Data Science), ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ 1, ການຂຽນໂປຣແກຣມພາສາ R ສຳລັບ Data Science ແລະ ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ (MIS)"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ຄະນິດສາດສຳລັບຄອມພິວເຕີ 2, ແຄລຄູລັດສ໌ 2, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 1, ດາຕາຊາຍ (Data Science), ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ 1, ການຂຽນໂປຣແກຣມພາສາ R ສຳລັບ Data Science ແລະ ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ (MIS)"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 2 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 2 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ 2, ສະຖິຕິວິໄຈ, ດາຕາມາຍນິ່ງ (Data Mining), ການວິເຄາະ ແລະ ອອກແບບລະບົບ (ແບບວັດຖຸ), Database Programming, ສຶກສາປ້ອງກັນຕົວ ແລະ ມະນຸດສຳພັນ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ພາກຮຽນ 2 ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 2 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ 2, ສະຖິຕິວິໄຈ, ດາຕາມາຍນິ່ງ (Data Mining), ການວິເຄາະ ແລະ ອອກແບບລະບົບ (ແບບວັດຖຸ), Database Programming, ສຶກສາປ້ອງກັນຕົວ ແລະ ມະນຸດສຳພັນ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 3 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ການສື່ສານຂໍ້ມູນ ແລະ ເຄືອຂ່າຍ, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 2, ວິທີການຄົ້ນຄວ້າ (ວິທະຍາສາດຄອມພິວເຕີ), ການສືບຄົ້ນຂໍ້ມູນຂ່າວສານ (Information Retrieval), Computer Vision: ປະມວນຜົນຮູບພາບ (Digital Image Processing), ໄຟຟ້າສຳລັບຄອມພິວເຕີ (Electricity 1) ແລະ ປັນຍາປະດິດ (Artificial Intelligence)"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ພາກຮຽນ 1 ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 1 ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ: ການສື່ສານຂໍ້ມູນ ແລະ ເຄືອຂ່າຍ, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 2, ວິທີການຄົ້ນຄວ້າ (ວິທະຍາສາດຄອມພິວເຕີ), ການສືບຄົ້ນຂໍ້ມູນຂ່າວສານ (Information Retrieval), Computer Vision: ປະມວນຜົນຮູບພາບ (Digital Image Processing), ໄຟຟ້າສຳລັບຄອມພິວເຕີ (Electricity 1) ແລະ ປັນຍາປະດິດ (Artificial Intelligence)"
